Question,Answer,Category
What should Nigerian-trained graduates do before NYSC registration?,"Verify that their details have been correctly uploaded to the NYSC Senate/Academic Board Approved Result list before attempting registration.",Registration
Who can register on the NYSC portal?,"Only locally trained graduates whose names appear on the Senate/Academic Board Approved Result lists submitted by their institutions.",Registration
Do I need an email address before NYSC registration?,"Yes. Every prospective corps member should have a functional email address before registering.",Registration
Should I use my correct matriculation number during registration?,"Yes. Locally trained graduates must use their correct institution matriculation numbers during registration.",Registration
How do I create an NYSC registration account?,"Create an account on the NYSC registration portal using your functional email address.",Registration
How do I activate my NYSC registration account?,"Click the activation link sent to your email address after creating your account.",Registration
What information do I need to provide during NYSC registration?,"You are required to fill in your personal details accurately during registration.",Registration
Can someone else complete my biometric capture for NYSC registration?,"No. Biometric capture must be done by the prospective corps member and not by proxy.",Registration
What type of passport photograph should I upload during registration?,"Upload a clean and clear passport photograph with an off-white background.",Registration
Should I preview my registration form before submitting?,"Yes. Review your registration form carefully to ensure all information is correct before submission.",Registration
Do I need to accept the NYSC registration terms and conditions?,"Yes. You must agree to the registration terms and conditions before submitting your application.",Registration
Can I upload a digital signature during NYSC registration?,"Yes. You can upload a scanned signature or sign using a digital signature scanner.",Registration
Should I keep my NYSC login details after registration?,"Yes. Keep your login credentials safe for future access to your dashboard.",Registration
Who qualifies for concessional posting on marital grounds?,"Married female prospective corps members who wish to be posted to their husband's state of domicile may apply.",Registration
What documents are required for marital concessional posting?,"Marriage certificate, evidence of change of name, proof of the husband's state of domicile, and the husband's means of identification.",Registration
Who qualifies for health-based concessional posting?,"Prospective corps members with serious health challenges who declare their true health status during registration.",Registration
What documents are required for health-based concessional posting?,"A medical report from a Federal or State General Hospital and the doctor's details.",Registration
Can married female corps members relocate to their husband's state after deployment?,"Yes. They may apply with the required supporting documents, including a marriage certificate and other specified documents.",Relocation
Do part-time graduates register on the NYSC portal?,"Yes. Part-time graduates register to enable them print their Exclusion Letter from their dashboard.",Exclusion
What self-services are available after NYSC registration?,"Services include correction of personal details, relocation application, and printing of call-up, exclusion, relocation, PPA, and leave approval letters.",Registration
